????+????,
??????,????????/GPa
3.02919,0.00178
3.03308,0.00178
3.03683,0.00178
3.04066,0.00179
3.04458,0.00179
3.04827,0.00179
3.05211,0.0018
3.05599,0.0018
3.0599,0.00181
3.06392,0.00181
3.06761,0.00182
3.07106,0.00182
3.07511,0.00182
3.079,0.00183
3.08285,0.00183
3.08649,0.00183
3.09026,0.00184
3.09407,0.00185
3.09802,0.00185
3.10206,0.00185
3.10584,0.00186
3.1095,0.00186
3.11327,0.00186
3.11713,0.00187
3.12091,0.00187
3.1247,0.00188
3.12825,0.00188
3.13228,0.00188
3.13592,0.00189
3.13962,0.00189
3.14342,0.0019
3.1472,0.0019
3.15122,0.0019
3.15479,0.00191
3.15858,0.00191
3.16233,0.00192
3.16568,0.00192
3.16945,0.00192
3.17339,0.00193
3.17705,0.00193
3.18095,0.00194
3.18458,0.00193
3.18842,0.00194
3.19231,0.00194
3.19594,0.00195
3.19959,0.00195
3.20362,0.00196
3.207,0.00196
3.21106,0.00196
3.2148,0.00197
3.21846,0.00197
3.22238,0.00197
3.22629,0.00198
3.23005,0.00198
3.23379,0.00199
3.23763,0.00199
3.24132,0.002
3.24499,0.002
3.24885,0.002
3.25258,0.00201
3.25616,0.00201
3.26025,0.00202
3.26359,0.00202
3.26753,0.00202
3.27138,0.00203
3.27509,0.00203
3.27899,0.00203
3.28251,0.00203
3.28637,0.00204
3.29039,0.00204
3.2938,0.00205
3.29775,0.00205
3.3015,0.00205
3.30514,0.00206
3.30907,0.00206
3.31294,0.00207
3.31691,0.00207
3.32068,0.00208
3.32437,0.00208
3.32825,0.00208
3.33196,0.00208
3.3358,0.00209
3.33944,0.00209
3.34365,0.0021
3.34726,0.0021
3.35118,0.00211
3.35499,0.00211
3.35894,0.00211
3.36267,0.00211
3.36653,0.00212
3.37018,0.00212
3.37411,0.00212
3.37792,0.00213
3.38156,0.00213
3.38534,0.00214
3.38932,0.00214
3.39296,0.00214
3.39696,0.00215
3.40075,0.00214
3.40444,0.00215
3.40823,0.00215
3.41181,0.00216
3.41564,0.00216
3.41925,0.00216
3.42302,0.00217
3.42666,0.00217
3.43042,0.00217
3.43439,0.00218
3.43813,0.00218
3.44195,0.00218
3.44559,0.00218
3.44932,0.00219
3.45316,0.00219
3.457,0.0022
3.46088,0.0022
