"File Number","u","v","x_c","y_c","u_c","v_c","exx","eyy","exy","e1","e2","gamma","e_vonmises"
74,10.619401746,2.02706364544,-10.4875862401,5.07326325018,0.452731260609,-0.0864187214326,0.00041277884982,-0.000179583016493,1.9809707703e-05,0.000551156647627,-0.000317960814703,0.0386064679888,0.000820544427049
75,10.8016947767,2.05228889473,-10.4875862401,5.07326325018,0.460502864441,-0.0874941337084,0.000491302058899,-0.000142563530319,2.49120063468e-05,0.000628550291571,-0.000279811763342,0.0319772435181,0.000865334877418
76,11.0020996822,2.0668430514,-10.4875862401,5.07326325018,0.469046620606,-0.0881146084377,0.000491242903778,-0.000106165063897,-2.95487681017e-05,0.000633433191309,-0.000248355351464,-0.0360455932448,0.000842742074843
77,11.1762849864,2.07131282859,-10.4875862401,5.07326325018,0.476472577356,-0.0883051746116,0.000489978210279,-8.96288654242e-05,3.53108799872e-06,0.000623255507887,-0.00022290616257,-0.0021390317726,0.000810042274167
78,11.3624147927,2.08313703539,-10.4875862401,5.07326325018,0.48440775498,-0.0888092664502,0.000472260611022,-0.000151889388638,-3.77694252213e-06,0.000619328407968,-0.000298957185502,-0.00276098337785,0.000869227501914
79,11.5445601229,2.10676870896,-10.4875862401,5.07326325018,0.492173037736,-0.0898167429475,0.000539076151889,-0.000166166142079,1.38158025775e-05,0.000660444130363,-0.000287534120505,0.0109780708489,0.000895773316176
80,11.7415476236,2.13145764116,-10.4875862401,5.07326325018,0.500571102285,-0.0908692920931,0.000538705013036,-9.61761408394e-05,-1.60527258428e-05,0.000669887207028,-0.000227358335129,-0.009465416947,0.000869452053176
81,11.9253745984,2.11521780875,-10.4875862401,5.07326325018,0.508408113975,-0.0901769505424,0.000535629810599,-0.000255973776691,7.12697457642e-05,0.000654464438832,-0.000374808404791,0.0605474478098,0.000961574253899
82,12.1494763638,2.2003081477,-10.4875862401,5.07326325018,0.517962122687,-0.0938045588148,0.000580040078317,-5.71664001807e-05,-5.59395435362e-05,0.000715213582315,-0.00019233990383,-0.0307837048315,0.000878041399272
83,12.3020238012,2.18837970493,-10.4875862401,5.07326325018,0.524465582207,-0.0932960146303,0.000556470438506,-0.000199784972131,4.17825456012e-06,0.000669068943989,-0.000312383477417,0.0125208716686,0.000913590219616
84,12.4842815209,2.19685215714,-10.4875862401,5.07326325018,0.532235688058,-0.0936572240585,0.000554063065227,-0.000152525325589,2.29007920797e-05,0.000677826705376,-0.00027628896555,0.0193763805372,0.000905151418563
85,12.6678690016,2.1867283377,-10.4875862401,5.07326325018,0.540062473117,-0.0932256185993,0.000565685000783,-0.000227047010993,4.91808671946e-06,0.000658843094328,-0.000320205103613,0.00738855681086,0.000905755695649
86,12.8763722785,2.23606743598,-10.4875862401,5.07326325018,0.548951486387,-0.0953290567516,0.000619706652853,-0.000145262893007,2.66027859538e-05,0.000733209036783,-0.000258765277568,0.0448713267397,0.000947385839295
87,13.0195771353,2.24228062635,-10.4875862401,5.07326325018,0.55505665645,-0.0955939491668,0.000681813342347,-0.000162224189275,-1.63079411371e-05,0.000781690591485,-0.000262101438343,-0.0126491599255,0.000990810890789
88,13.1991550415,2.25055615155,-10.4875862401,5.07326325018,0.562712504223,-0.0959467653574,0.000642255534661,-0.000210855286414,-3.31811689851e-05,0.000757563918589,-0.000326163670188,-0.0422651964098,0.00101828520588
89,13.3923754864,2.23938178208,-10.4875862401,5.07326325018,0.570949969196,-0.0954703615294,0.000660315302621,-0.000233835250338,-8.64517939963e-07,0.000758997260836,-0.000332517208853,0.0228647963083,0.00101362446116
90,13.5717102831,2.25355921723,-10.4875862401,5.07326325018,0.578595458399,-0.0960747870654,0.000689831456174,-0.000168775477077,2.43002171014e-05,0.00078943819599,-0.00026838221666,0.0225345993666,0.00100918468441
91,13.7320549532,2.29141398252,-10.4875862401,5.07326325018,0.585431333753,-0.0976886250316,0.000693581339534,-0.000184884639282,6.31783137499e-06,0.000793021052489,-0.000284324352227,0.0222995024656,0.00101978170931
92,13.9181097149,2.319095115,-10.4875862401,5.07326325018,0.593363306744,-0.098868740398,0.000709271600551,-0.000186540922191,1.03127804393e-07,0.000804764939527,-0.00028203426108,0.00662730088443,0.0010227857223
93,14.0942227829,2.3439349181,-10.4875862401,5.07326325018,0.600871455326,-0.0999277338147,0.000738050654177,-0.000187483444573,-2.67288427729e-06,0.000825969228489,-0.000275402019327,0.000590507020267,0.00104753937516
94,14.2724581196,2.35128961386,-10.4875862401,5.07326325018,0.608470069697,-0.100241267204,0.000736166094839,-0.000228472327576,1.97409085537e-06,0.000826683745446,-0.000318989977861,-0.000371910568887,0.0010795457817
95,14.4582704874,2.35339984589,-10.4875862401,5.07326325018,0.616391702932,-0.10033122349,0.00074445809156,-0.00020268888368,-1.04248663481e-05,0.000830999080242,-0.000289229873085,-0.00325221265426,0.00105116779338
96,14.637914932,2.37678307239,-10.4875862401,5.07326325018,0.624050377549,-0.10132812224,0.000769856993852,-0.000240806366802,1.57809967837e-05,0.000848519852287,-0.000319469225245,0.01433905624,0.00108533389502
97,14.826606083,2.39596928036,-10.4875862401,5.07326325018,0.63209474411,-0.102146073538,0.000774455478948,-0.00022597965226,-7.88850751232e-06,0.00084722776017,-0.000298751932661,-0.00677899666873,0.00107369150569
98,15.0270679726,2.42569595884,-10.4875862401,5.07326325018,0.640640942974,-0.103413395854,0.000786166524061,-0.000228920117986,-9.71080578831e-06,0.00087435089987,-0.000317104494522,-0.0139876815486,0.00111197813733
99,15.2234575814,2.44156537586,-10.4875862401,5.07326325018,0.649013518947,-0.104089956232,0.000780928553718,-0.00024333146006,-7.28227299581e-06,0.000854847817674,-0.000317250724477,-0.0167903316763,0.00109950185104
100,15.425629446,2.45024731058,-10.4875862401,5.07326325018,0.657632589984,-0.104460081611,0.00080642674572,-0.000240446945113,2.02477473292e-05,0.000881568516362,-0.000315588715873,0.041191397973,0.00112244746066
101,15.6091816218,2.46908208717,-10.4875862401,5.07326325018,0.665457868852,-0.105263047737,0.000842227272441,-0.000241604847396,-1.37938771476e-05,0.000904774417422,-0.00030415199295,-0.00888749629347,0.00112908141228
102,15.8025763124,2.48672691001,-10.4875862401,5.07326325018,0.673702766019,-0.106015294661,0.000839631511569,-0.000226939270389,9.81316382989e-06,0.000906647979232,-0.000293955738446,0.00626313512287,0.00112668273745
103,15.9899616787,2.50692990351,-10.4875862401,5.07326325018,0.681691471595,-0.106876605162,0.000856465641386,-0.000225347918411,1.53866362027e-05,0.000934231473179,-0.000303113750409,0.0180341411193,0.0011631815948
104,16.1763698194,2.53303352397,-10.4875862401,5.07326325018,0.689638506662,-0.10798945778,0.000884217500447,-0.000236095855296,2.20004560402e-06,0.000964370201534,-0.000316248556588,0.00368631356763,0.00120089825935
105,16.3742895612,2.53341767012,-10.4875862401,5.07326325018,0.698076314021,-0.108005839137,0.000893542141825,-0.000229129554398,2.95512941659e-05,0.000963340074673,-0.000298927486648,0.0302509975088,0.00118297051864
106,16.6139039669,2.59465656014,-10.4875862401,5.07326325018,0.708291670583,-0.110616603594,0.000899431218712,-0.000229465126587,1.43179546124e-05,0.000968690143234,-0.000298724051037,0.0123805048686,0.00119390017947
107,16.8023170318,2.59280665038,-10.4875862401,5.07326325018,0.716324183302,-0.110537736903,0.000933026863443,-0.000254172774071,-5.90358933436e-06,0.00099490843194,-0.000316054342385,-0.000455571134922,0.0012190879032
108,17.0079497525,2.59704742777,-10.4875862401,5.07326325018,0.725090817754,-0.110718525963,0.000945759552305,-0.000265199787085,7.07235931605e-06,0.00101266449919,-0.000332104733465,0.0112662807241,0.00125297346779
109,17.1921713976,2.63003195474,-10.4875862401,5.07326325018,0.732944634841,-0.112124751369,0.000952856261471,-0.00027782559576,2.0448702114e-05,0.00100951634146,-0.000334485675327,0.0162320927562,0.00124495492114
110,17.3934933519,2.64406853487,-10.4875862401,5.07326325018,0.741527486158,-0.112723152291,0.000966641797746,-0.000253899528635,6.61991685427e-06,0.00102811254912,-0.000315370279828,0.00513213630268,0.00125198109744
111,17.6116725916,2.67088424524,-10.4875862401,5.07326325018,0.750828994711,-0.113866378491,0.000988234163971,-0.000253485808481,4.1032212736e-06,0.0010597464947,-0.000324998139063,0.00523179452014,0.00129071727194
112,17.8315023709,2.69688365231,-10.4875862401,5.07326325018,0.76020088874,-0.114974794208,0.000989269377465,-0.000299478940801,-8.71887991876e-06,0.00104400281923,-0.000354212382898,-0.00128346671378,0.00129811755065
113,18.0193784534,2.71432919966,-10.4875862401,5.07326325018,0.768210520356,-0.11571853957,0.00101061485973,-0.000278540581129,-9.07011176913e-06,0.00107116326446,-0.000339088985867,-0.0125524083446,0.0013129285751
114,18.2169561249,2.71246785015,-10.4875862401,5.07326325018,0.776633734437,-0.115639195104,0.00101553947935,-0.00028336492016,1.44129019566e-05,0.00107172481058,-0.000339550251762,0.0115495330824,0.00131270981089
115,18.4169525535,2.73230924604,-10.4875862401,5.07326325018,0.785160066103,-0.116485073601,0.00103840776452,-0.000282979176644,1.52095226135e-05,0.00109364956263,-0.000338220974829,0.0141147247059,0.00133264169848
116,18.620078806,2.78367210582,-10.4875862401,5.07326325018,0.793819835658,-0.118674786721,0.00104528251924,-0.000275162754403,3.6066486341e-06,0.00110241594079,-0.000332296176119,0.0017581351959,0.00133787495815
117,18.8401174088,2.81989061878,-10.4875862401,5.07326325018,0.803200633496,-0.120218882254,0.00108363374778,-0.000273990414145,1.53471098098e-05,0.00114892250457,-0.000339279170892,0.00969934276398,0.00138896998774
118,19.0602525649,2.7999193026,-10.4875862401,5.07326325018,0.812585541172,-0.119367454014,0.00109964191261,-0.000293423229722,4.53181904695e-05,0.00116370823161,-0.000357489548412,0.0373329327915,0.00141071855839
119,19.2594924113,2.81194413629,-10.4875862401,5.07326325018,0.821079634384,-0.119880104668,0.00111026878827,-0.000317873918724,5.33794662203e-06,0.00116325834776,-0.000370863477493,0.00801043342141,0.00142124787865
120,19.4706461264,2.86408816777,-10.4875862401,5.07326325018,0.830081637484,-0.122103134107,0.00109909360409,-0.000333522196389,1.36234629968e-06,0.00115322004288,-0.000387648635641,0.00139353670893,0.00142403879015
121,19.6886866676,2.88205374574,-10.4875862401,5.07326325018,0.839377226733,-0.122869053495,0.00110952784986,-0.000324235129719,1.94879525542e-05,0.00116298669958,-0.000377693979268,0.0149312478228,0.00143023759917
122,19.9056849939,2.90283143734,-10.4875862401,5.07326325018,0.848628411694,-0.123754850068,0.0011457058348,-0.000309100501074,6.59182594481e-06,0.00119857682576,-0.000361971492255,0.00999518247951,0.00144957849465
123,20.1067746141,2.92581192966,-10.4875862401,5.07326325018,0.857201342922,-0.124734583775,0.00118385995315,-0.000325585395579,-1.15636399756e-05,0.00124098488508,-0.000382710326645,-0.00754642678845,0.00150532537122
124,20.318068091,2.94389495122,-10.4875862401,5.07326325018,0.866209308611,-0.125505491876,0.001179298138,-0.000307556119262,2.0101320304e-05,0.0012363173012,-0.000364575283081,0.0201018422054,0.00148942197689
125,20.5361268483,2.94816083454,-10.4875862401,5.07326325018,0.875505694575,-0.125687363878,0.00119356743161,-0.000314571834342,2.0397839062e-05,0.00125349073744,-0.000374495140465,0.00864989573103,0.0015067470817
126,20.7537587966,2.98061410259,-10.4875862401,5.07326325018,0.884783878013,-0.12707092792,0.00120526767986,-0.000325549632018,2.16817712703e-05,0.00125416734503,-0.00037444929711,0.0153393725619,0.00150452980216
