*DEFINE_TABLE
$#Lode Parameter vs. load curves
$     TBID
               0.421            4.21e-01
               0.449            4.17e-01
               0.476            4.13e-01
               0.503            4.09e-01
               0.530            4.05e-01
               0.557            4.01e-01
               0.584            3.98e-01
               0.612            3.94e-01
               0.639            3.90e-01
               0.666            3.87e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        11         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.95e-01
              -0.639            7.74e-01
              -0.612            7.55e-01
              -0.584            7.36e-01
              -0.557            7.19e-01
              -0.530            7.03e-01
              -0.503            6.87e-01
              -0.476            6.73e-01
              -0.449            6.59e-01
              -0.421            6.46e-01
              -0.394            6.34e-01
              -0.367            6.22e-01
              -0.340            6.10e-01
              -0.313            6.00e-01
              -0.285            5.89e-01
              -0.258            5.80e-01
              -0.231            5.70e-01
              -0.204            5.61e-01
              -0.177            5.52e-01
              -0.150            5.44e-01
              -0.122            5.36e-01
              -0.095            5.28e-01
              -0.068            5.21e-01
              -0.041            5.13e-01
              -0.014            5.06e-01
               0.014            5.00e-01
               0.041            4.93e-01
               0.068            4.87e-01
               0.095            4.81e-01
               0.122            4.75e-01
               0.150            4.69e-01
               0.177            4.63e-01
               0.204            4.58e-01
               0.231            4.53e-01
               0.258            4.48e-01
               0.285            4.43e-01
               0.313            4.38e-01
               0.340            4.33e-01
               0.367            4.29e-01
               0.394            4.24e-01
               0.421            4.20e-01
               0.449            4.16e-01
               0.476            4.12e-01
               0.503            4.08e-01
               0.530            4.04e-01
               0.557            4.00e-01
               0.584            3.96e-01
               0.612            3.93e-01
               0.639            3.89e-01
               0.666            3.86e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        12         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.88e-01
              -0.639            7.68e-01
              -0.612            7.49e-01
              -0.584            7.31e-01
              -0.557            7.14e-01
              -0.530            6.98e-01
              -0.503            6.83e-01
              -0.476            6.68e-01
              -0.449            6.55e-01
              -0.421            6.42e-01
              -0.394            6.30e-01
              -0.367            6.18e-01
              -0.340            6.07e-01
              -0.313            5.96e-01
              -0.285            5.86e-01
              -0.258            5.76e-01
              -0.231            5.67e-01
              -0.204            5.58e-01
              -0.177            5.50e-01
              -0.150            5.41e-01
              -0.122            5.33e-01
              -0.095            5.26e-01
              -0.068            5.18e-01
              -0.041            5.11e-01
              -0.014            5.04e-01
               0.014            4.98e-01
               0.041            4.91e-01
               0.068            4.85e-01
               0.095            4.79e-01
               0.122            4.73e-01
               0.150            4.67e-01
               0.177            4.62e-01
               0.204            4.56e-01
               0.231            4.51e-01
               0.258            4.46e-01
               0.285            4.41e-01
               0.313            4.37e-01
               0.340            4.32e-01
               0.367            4.27e-01
               0.394            4.23e-01
               0.421            4.19e-01
               0.449            4.15e-01
               0.476            4.10e-01
               0.503            4.07e-01
               0.530            4.03e-01
               0.557            3.99e-01
               0.584            3.95e-01
               0.612            3.92e-01
               0.639            3.88e-01
               0.666            3.85e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        13         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.82e-01
              -0.639            7.62e-01
              -0.612            7.43e-01
              -0.584            7.25e-01
              -0.557            7.09e-01
              -0.530            6.93e-01
              -0.503            6.78e-01
              -0.476            6.64e-01
              -0.449            6.51e-01
              -0.421            6.38e-01
              -0.394            6.26e-01
              -0.367            6.15e-01
              -0.340            6.04e-01
              -0.313            5.93e-01
              -0.285            5.83e-01
              -0.258            5.74e-01
              -0.231            5.64e-01
              -0.204            5.55e-01
              -0.177            5.47e-01
              -0.150            5.39e-01
              -0.122            5.31e-01
              -0.095            5.23e-01
              -0.068            5.16e-01
              -0.041            5.09e-01
              -0.014            5.02e-01
               0.014            4.95e-01
               0.041            4.89e-01
               0.068            4.83e-01
               0.095            4.77e-01
               0.122            4.71e-01
               0.150            4.66e-01
               0.177            4.60e-01
               0.204            4.55e-01
               0.231            4.50e-01
               0.258            4.45e-01
               0.285            4.40e-01
               0.313            4.35e-01
               0.340            4.31e-01
               0.367            4.26e-01
